id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
0,ALL,ALL,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
1,ALL,ALL,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
2,ALL,ALL,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
3,ALL,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
4,ALL,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
5,ALL,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
6,ALL,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
7,ALL,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
8,ALL,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
9,ALL,ALL,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
10,ALL,ALL,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
11,ALL,ALL,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
12,ALL,ALL,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
13,ALL,ALL,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
14,ALL,ALL,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
15,ALL,ALL,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
16,ALL,ALL,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
17,ALL,ALL,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
18,ALL,ALL,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
19,ALL,ALL,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
20,ALL,ALL,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
21,ALL,ALL,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
22,ALL,ALL,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
23,ALL,ALL,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
24,ALL,ALL,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
25,ALL,ALL,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
26,ALL,ALL,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
27,ALL,ALL,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
28,ALL,ALL,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
29,ALL,ALL,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
30,ALL,ALL,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
31,ALL,ALL,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
32,ALL,ALL,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
33,ALL,ALL,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
34,ALL,ALL,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
35,ALL,ALL,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
36,ALL,ALL,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
37,F,ALL,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
38,F,ALL,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
39,F,ALL,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
40,F,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
41,F,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
42,F,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
43,F,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
44,F,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
45,F,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
46,F,ALL,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
47,F,ALL,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
48,F,ALL,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
49,F,ALL,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
50,F,ALL,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
51,F,ALL,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
52,F,ALL,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
53,F,ALL,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
54,F,ALL,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
55,F,ALL,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
56,F,ALL,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
57,F,ALL,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
58,F,ALL,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
59,F,ALL,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
60,F,ALL,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
61,F,ALL,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
62,F,ALL,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
63,F,ALL,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
64,F,ALL,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
65,F,ALL,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
66,F,ALL,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
67,F,ALL,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
68,F,ALL,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
69,F,ALL,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
70,F,ALL,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
71,F,ALL,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
72,F,ALL,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
73,F,ALL,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
74,M,ALL,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
75,M,ALL,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
76,M,ALL,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
77,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
78,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
79,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
80,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
81,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
82,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
83,M,ALL,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
84,M,ALL,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
85,M,ALL,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
86,M,ALL,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
87,M,ALL,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
88,M,ALL,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
89,M,ALL,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
90,M,ALL,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
91,M,ALL,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
92,M,ALL,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
93,M,ALL,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
94,M,ALL,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
95,M,ALL,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
96,M,ALL,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
97,M,ALL,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
98,M,ALL,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
99,M,ALL,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
100,M,ALL,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
101,M,ALL,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
102,M,ALL,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
103,M,ALL,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
104,M,ALL,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
105,M,ALL,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
106,M,ALL,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
